"ID","Module"
"Contract","CRM"
"Bank","Accounts"
"Loyalty Point Entry Redemption","Accounts"
"Auto Repeat","Automation"
"Data Export","Core"
"Item Alternative","Stock"
"Subscription Settings","Accounts"
"Subscription Invoice","Accounts"
"Subscription Plan Detail","Accounts"
"Subscription Plan","Accounts"
"List Filter","Desk"
"Projects Settings","Projects"
"Transaction Log","Core"
"Quality Inspection Template","Stock"
"Loyalty Program Collection","Accounts"
"Loyalty Program","Accounts"
"Loyalty Point Entry","Accounts"
"Coupon Code","Accounts"
"Project Update","Projects"
"Share Balance","Accounts"
"Share Type","Accounts"
"Share Transfer","Accounts"
"Shareholder","Accounts"
"User Social Login","Core"
"Material Request Plan Item","Manufacturing"
"Linked Location","Assets"
"Social Login Key","Integrations"
"Production Plan","Manufacturing"
"POS Profile User","Accounts"
"Asset Maintenance Log","Assets"
"Calendar View","Desk"
"Asset Repair","Assets"
"Asset Maintenance Team","Assets"
"Asset Maintenance Task","Assets"
"Asset Maintenance","Assets"
"Driver","Setup"
"Driving License Category","Setup"
"Delivery Stop","Stock"
"Delivery Trip","Stock"
"Opportunity Type","CRM"
"Issue Type","Support"
"Activity Log","Core"
"Webhook Data","Integrations"
"Webhook Header","Integrations"
"Webhook","Integrations"
"S3 Backup Settings","Integrations"
"Role Profile","Core"
"Item Variant Settings","Stock"
"Opening Invoice Creation Tool Item","Accounts"
"Opening Invoice Creation Tool","Accounts"
"POS Settings","Accounts"
"Print Style","Printing"
"Payment Schedule","Accounts"
"Payment Terms Template","Accounts"
"Payment Terms Template Detail","Accounts"
"Payment Term","Accounts"
"Subscription","Accounts"
"Project Type","Projects"
"User Permission","Core"
"Supplier Scorecard Period","Buying"
"Bank Account","Accounts"
"Supplier Scorecard","Buying"
"Supplier Scorecard Standing","Buying"
"Supplier Scorecard Scoring Standing","Buying"
"Supplier Scorecard Criteria","Buying"
"Supplier Scorecard Scoring Criteria","Buying"
"Supplier Scorecard Variable","Buying"
"Supplier Scorecard Scoring Variable","Buying"
"Domain Settings","Core"
"Has Domain","Core"
"Domain","Core"
"Salutation","Contacts"
"Gender","Contacts"
"Customs Tariff Number","Stock"
"Email Rule","Email"
"Newsletter Email Group","Email"
"Support Settings","Support"
"Role Permission for Page and Report","Core"
"Custom Role","Core"
"BOM Website Item","Manufacturing"
"BOM Website Operation","Manufacturing"
"Dynamic Link","Core"
"Custom DocPerm","Core"
"Deleted Document","Core"
"Website Sidebar","Website"
"Website Sidebar Item","Website"
"Party Type","Setup"
"Bank Guarantee","Accounts"
"Email Queue Recipient","Email"
"POS Customer Group","Accounts"
"POS Item Group","Accounts"
"Maintenance Team Member","Assets"
"Kanban Board Column","Desk"
"Kanban Board","Desk"
"BOM Scrap Item","Manufacturing"
"LDAP Settings","Integrations"
"Dropbox Settings","Integrations"
"Lead Source","CRM"
"OAuth Provider Settings","Integrations"
"Vehicle","Setup"
"Auto Email Report","Email"
"Note Seen By","Desk"
"OAuth Authorization Code","Integrations"
"OAuth Bearer Token","Integrations"
"OAuth Client","Integrations"
"Bulk Update","Desk"
"Payment Entry Deduction","Accounts"
"Sales Invoice Timesheet","Accounts"
"Payment Entry Reference","Accounts"
"Payment Entry","Accounts"
"Tag","Desk"
"Budget Account","Accounts"
"Budget","Accounts"
"Sales Invoice Payment","Accounts"
"Cheque Print Template","Accounts"
"Asset Movement","Assets"
"Email Flag Queue","Email"
"Work Order Item","Manufacturing"
"Unhandled Email","Email"
"User Email","Core"
"Portal Settings","Website"
"Portal Menu Item","Website"
"Email Domain","Email"
"Request for Quotation Supplier","Buying"
"Project User","Projects"
"Asset Category Account","Assets"
"Depreciation Schedule","Assets"
"Asset Category","Assets"
"Request for Quotation Item","Buying"
"Request for Quotation","Buying"
"Desktop Icon","Desk"
"Translation","Core"
"Production Plan Material Request","Manufacturing"
"Manufacturer","Stock"
"Payment Gateway Account","Accounts"
"Payment Request","Accounts"
"Price List Country","Stock"
"Shipping Rule Country","Accounts"
"Tax Rule","Accounts"
"Item Variant Attribute","Stock"
"Dependent Task","Projects"
"Task Depends On","Projects"
"Block Module","Core"
"Activity Cost","Projects"
"Email Unsubscribe","Email"
"Email Group Member","Email"
"Email Group","Email"
"Website Theme","Website"
"Stock Reconciliation Item","Stock"
"DocShare","Core"
"Mode of Payment Account","Accounts"
"Workstation Working Hour","Manufacturing"
"Manufacturing Settings","Manufacturing"
"Operation","Manufacturing"
"Help Article","Website"
"Help Category","Website"
"Work Order Operation","Manufacturing"
"Fiscal Year Company","Accounts"
"Item Variant","Stock"
"Item Attribute Value","Stock"
"Item Attribute","Stock"
"Email Account","Email"
"Web Form Field","Website"
"Web Form","Website"
"Party Account","Accounts"
"Language","Core"
"Print Settings","Printing"
"Notification Recipient","Email"
"Notification","Email"
"Landed Cost Taxes and Charges","Stock"
"Landed Cost Voucher","Stock"
"Payment Reconciliation Invoice","Accounts"
"Payment Reconciliation Payment","Accounts"
"Payment Reconciliation","Accounts"
"Email Template","Email"
"Address Template","Contacts"
"Pricing Rule","Accounts"
"Version","Core"
"Shipping Rule Condition","Accounts"
"Shipping Rule","Accounts"
"Buying Settings","Buying"
"Selling Settings","Selling"
"Stock Settings","Stock"
"Accounts Settings","Accounts"
"Currency Exchange","Setup"
"Product Bundle","Selling"
"Sales Order","Selling"
"Customer","Selling"
"Event","Desk"
"Sales Invoice Item","Accounts"
"Purchase Receipt Item","Stock"
"Delivery Note","Stock"
"Quotation","Selling"
"Purchase Order Item","Buying"
"Note","Desk"
"POS Profile","Accounts"
"Product Bundle Item","Selling"
"Purchase Invoice Item","Accounts"
"Supplier Quotation Item","Buying"
"Supplier Quotation","Buying"
"Purchase Order","Buying"
"Purchase Invoice","Accounts"
"Purchase Receipt","Stock"
"Purchase Taxes and Charges","Accounts"
"Serial No","Stock"
"Item","Stock"
"Global Defaults","Setup"
"Item Price","Stock"
"Installation Note","Selling"
"Quality Inspection","Stock"
"Website Settings","Website"
"Sales Taxes and Charges","Accounts"
"Delivery Note Item","Stock"
"Sales Team","Selling"
"Sales Partner","Setup"
"Packing Slip","Stock"
"Stock Entry","Stock"
"Packing Slip Item","Stock"
"Stock Reconciliation","Stock"
"Web Page","Website"
"Item Group","Setup"
"Blogger","Website"
"About Us Settings","Website"
"Blog Settings","Website"
"Report","Core"
"Item Customer Detail","Stock"
"Purchase Invoice Advance","Accounts"
"Blog Category","Website"
"Opportunity","CRM"
"Website Slideshow","Website"
"Material Request","Stock"
"Website Slideshow Item","Website"
"About Us Team Member","Website"
"Project","Projects"
"Item Reorder","Stock"
"Sales Order Item","Selling"
"Quotation Item","Selling"
"BOM Explosion Item","Manufacturing"
"Batch","Stock"
"Activity Type","Projects"
"Timesheet Detail","Projects"
"Timesheet","Projects"
"Website Item Group","Setup"
"Top Bar Item","Website"
"Company History","Website"
"Maintenance Visit Purpose","Maintenance"
"Maintenance Schedule Item","Maintenance"
"Maintenance Schedule Detail","Maintenance"
"UOM Conversion Detail","Stock"
"Landed Cost Item","Stock"
"Material Request Item","Stock"
"Landed Cost Purchase Receipt","Stock"
"Item Tax","Stock"
"Item Supplier","Stock"
"Item Website Specification","Stock"
"Item Quality Inspection Parameter","Stock"
"Packed Item","Stock"
"SMS Parameter","Core"
"Target Detail","Setup"
"Brand","Setup"
"Opportunity Item","CRM"
"Installation Note Item","Selling"
"BOM Item","Manufacturing"
"BOM Operation","Manufacturing"
"Production Plan Item","Manufacturing"
"Production Plan Sales Order","Manufacturing"
"Holiday","Setup"
"Employee Education","Setup"
"Employee External Work History","Setup"
"Employee Internal Work History","Setup"
"Quality Inspection Reading","Stock"
"Purchase Order Item Supplied","Buying"
"Purchase Receipt Item Supplied","Buying"
"Sales Invoice Advance","Accounts"
"Journal Entry Account","Accounts"
"Monthly Distribution Percentage","Accounts"
"Bank Clearance Detail","Accounts"
"Workflow Transition","Workflow"
"Workflow Document State","Workflow"
"Has Role","Core"
"DocPerm","Core"
"DocField","Core"
"DefaultValue","Core"
"Customize Form Field","Custom"
"Contact Us Settings","Website"
"DocType","Core"
"Department","Setup"
"Issue","Support"
"Account","Accounts"
"Task","Projects"
"Stock Ledger Entry","Stock"
"Customize Form","Custom"
"Communication","Core"
"Currency","Geo"
"Price List","Stock"
"Cost Center","Accounts"
"Print Format","Printing"
"Fiscal Year","Accounts"
"BOM","Manufacturing"
"Country","Geo"
"Patch Log","Core"
"Error Log","Core"
"Address","Contacts"
"Contact","Contacts"
"Newsletter","Email"
"Maintenance Visit","Maintenance"
"Warranty Claim","Support"
"Maintenance Schedule","Maintenance"
"Bin","Stock"
"UOM","Setup"
"Territory","Setup"
"SMS Settings","Core"
"Sales Person","Setup"
"Print Heading","Setup"
"Supplier Group","Setup"
"Terms and Conditions","Setup"
"Quotation Lost Reason","Setup"
"Customer Group","Setup"
"SMS Center","Selling"
"Authorization Rule","Setup"
"Campaign","CRM"
"Workstation","Manufacturing"
"Work Order","Manufacturing"
"Holiday List","Setup"
"Branch","Setup"
"Designation","Setup"
"Supplier","Buying"
"Sales Taxes and Charges Template","Accounts"
"Purchase Taxes and Charges Template","Accounts"
"Period Closing Voucher","Accounts"
"GL Entry","Accounts"
"Bank Clearance","Accounts"
"Monthly Distribution","Accounts"
"Property Setter","Custom"
"Module Def","Core"
"Client Script","Custom"
"Role","Core"
"Workflow State","Workflow"
"Workflow Action Master","Workflow"
"Workflow","Workflow"
"Website Script","Website"
"Page","Core"
"File","Core"
"BOM Update Tool","Manufacturing"
"Mode of Payment","Accounts"
"Rename Tool","Utilities"
"Letter Head","Printing"
"Email Queue","Email"
"ToDo","Desk"
"SMS Log","Core"
"Authorization Control","Setup"
"Industry Type","Selling"
