Default Unit of Measure ,Item Code           ,Item Name                       ,Item Group         ,Valuation Rate ,Allow Alternative Item ,Allow Negative Stock ,Allow Purchase ,Allow Sales ,Description                                                                                                                                                                  ,Has Batch No ,Has Serial No ,Include Item In Manufacturing ,Is Fixed Asset ,Maintain Stock ,Standard Selling Rate ,Warranty Period (in days) ,Weight Per Unit ,Weight UOM ,Serial Number Series ,Batch Number Series ,Default Expense Account (Item Defaults)
Nos                     ,STO-COMP-2024-C008  ,Alu Sattelstütze Advanced       ,Fahrradkomponenten ,         49.99 ,                     1 ,                   0 ,             1 ,          1 ,"Aluminium-Sattelstütze mit 20mm Offset, 27.2/31.6mm, Länge 400mm, 2-Schrauben-Klemmung"                                                                                     ,           1 ,              ,                            1 ,             0 ,             1 ,                99.99 ,                      365 ,          0.25  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C009  ,Carbon Sattel Race Pro          ,Fahrradkomponenten ,        149.99 ,                     1 ,                   0 ,             1 ,          1 ,"Ultra-leichter Carbon-Sattel, 132mm Breite, Carbongestell, optimierte Druckentlastung, nur 145g"                                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,               299.99 ,                      365 ,          0.15  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C010  ,Ergonomie Sattel Pro            ,Fahrradkomponenten ,         84.99 ,                     1 ,                   0 ,             1 ,          1 ,"Ergonomischer Komfort-Sattel, 155mm Breite, Titangestell, Gel-Polsterung, Druckentlastungskanal"                                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,               169.99 ,                      365 ,          0.23  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W001  ,Carbon Race Laufradsatz Pro     ,Fahrradkomponenten ,       1199.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Carbon-Laufradsatz für Rennräder, 45mm Felgenhöhe, Tubeless Ready, DT Swiss 240s Naben, Sapim CX-Ray Speichen, 1380g/Set"                                           ,           1 ,              ,                            1 ,             0 ,             1 ,              2399.99 ,                      730 ,          1.38  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W002  ,Carbon MTB Laufradsatz Elite    ,Fahrradkomponenten ,        999.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-End Carbon MTB Laufradsatz, 30mm Innenweite, Boost Standard, DT Swiss 350 Naben, Tubeless Ready, 1580g/Set"                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,              1999.99 ,                      730 ,          1.58  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W003  ,Alu Race Laufradsatz Pro        ,Fahrradkomponenten ,        449.99 ,                     1 ,                   0 ,             1 ,          1 ,"Hochwertiger Aluminium-Rennrad-Laufradsatz, 25mm Innenweite, Tubeless Ready, DT Swiss 370 Naben, 1680g/Set"                                                                 ,           1 ,              ,                            1 ,             0 ,             1 ,               899.99 ,                      730 ,          1.68  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W004  ,E-Bike Laufradsatz Advanced     ,Fahrradkomponenten ,        349.99 ,                     1 ,                   0 ,             1 ,          1 ,"Verstärkter E-Bike Laufradsatz, Aluminium, 25mm Innenweite, E-Bike optimierte Naben, erhöhte Speichenzahl, 2100g/Set"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,               699.99 ,                      730 ,          2.10  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W005  ,Gravel Laufradsatz Pro          ,Fahrradkomponenten ,        599.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gravel-spezifischer Laufradsatz, Carbon, 23mm Innenweite, Tubeless Ready, DT Swiss G350 Naben, 1480g/Set"                                                                   ,           1 ,              ,                            1 ,             0 ,             1 ,              1199.99 ,                      730 ,          1.48  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W006  ,Race Pro Reifen 700x25c         ,Fahrradkomponenten ,         44.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-Performance Rennradreifen, 700x25c, 320TPI Karkasse, Tubeless Ready, Graphene Compound, Rolling Resistance 8.9W"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,                89.99 ,                      365 ,          0.22  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W007  ,MTB Trail Pro Reifen 29x2.4     ,Fahrradkomponenten ,         49.99 ,                     1 ,                   0 ,             1 ,          1 ,"All-Mountain/Trail Reifen, 29x2.4, Triple Compound, verstärkte Seitenwände, Tubeless Ready, EXO+ Karkasse"                                                                  ,           1 ,              ,                            1 ,             0 ,             1 ,                99.99 ,                      365 ,          0.89  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W008  ,Gravel Pro Reifen 700x40c       ,Fahrradkomponenten ,         39.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gravel-spezifischer Reifen, 700x40c, Tubeless Ready, verstärkte Pannenschutzeinlage, semi-glatter Mittelsteg"                                                               ,           1 ,              ,                            1 ,             0 ,             1 ,                79.99 ,                      365 ,          0.46  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W009  ,E-Bike Urban Reifen 27.5x2.4    ,Fahrradkomponenten ,         34.99 ,                     1 ,                   0 ,             1 ,          1 ,"E-Bike zertifizierter City/Trekking Reifen, 27.5x2.4, ECE-R75 konform, Reflexstreifen, erhöhter Pannenschutz"                                                               ,           1 ,              ,                            1 ,             0 ,             1 ,                69.99 ,                      365 ,          0.98  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-W010  ,City Comfort Reifen 28x2.0      ,Fahrradkomponenten ,         24.99 ,                     1 ,                   0 ,             1 ,          1 ,"Komfort-orientierter Stadtrad-Reifen, 28x2.0, Pannenschutzeinlage, Reflexstreifen, E-Bike ready bis 25km/h"                                                                 ,           1 ,              ,                            1 ,             0 ,             1 ,                49.99 ,                      365 ,          0.82  ,Kg         ,                     ,WHEEL-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B001  ,Race Carbon Disc Brake Set      ,Fahrradkomponenten ,        599.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Rennrad-Scheibenbremsen Set, Carbon-Hebel, Hydraulisch, Flatmount, vorne 160mm/hinten 140mm Scheiben inkl., 385g/Set ohne Scheiben"                                 ,           1 ,              ,                            1 ,             0 ,             1 ,              1199.99 ,                      730 ,          0.39  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B002  ,MTB Pro 4-Kolben Bremse         ,Fahrradkomponenten ,        449.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-End MTB 4-Kolben Bremsanlage, Vorne/Hinten, Werkzeugfreie Reichweiteneinstellung, Bleeding Edge Technologie, 180mm/180mm Scheiben"                                     ,           1 ,              ,                            1 ,             0 ,             1 ,               899.99 ,                      730 ,          0.52  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B003  ,E-MTB Performance Bremse        ,Fahrradkomponenten ,        349.99 ,                     1 ,                   0 ,             1 ,          1 ,"E-MTB optimierte 4-Kolben Bremsanlage, verstärkte Bremsbeläge, 203mm/180mm Scheiben, erhöhte Wärmeableitung"                                                                ,           1 ,              ,                            1 ,             0 ,             1 ,               699.99 ,                      730 ,          0.58  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B004  ,Gravel Disc Brake Pro           ,Fahrradkomponenten ,        299.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gravel-spezifische Hydraulikbremse, Flatmount, 160mm/160mm Scheiben, Ergonomische Hebel, Werkzeugfreie Belageinstellung"                                                    ,           1 ,              ,                            1 ,             0 ,             1 ,               599.99 ,                      730 ,          0.45  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B005  ,City Hydraulic Brake            ,Fahrradkomponenten ,        179.99 ,                     1 ,                   0 ,             1 ,          1 ,"Wartungsarme Hydraulikbremse für Stadt- und Trekkingräder, 160mm/160mm Scheiben, Mineralöl-System, langlebige Beläge"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,               359.99 ,                      730 ,          0.49  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B006  ,Race Disc 160mm Ice-Tech        ,Fahrradkomponenten ,         54.99 ,                     1 ,                   0 ,             1 ,          1 ,"Hochleistungs-Bremsscheibe 160mm, Ice-Tech Technologie, Centerlock, 2.0mm stark, Aluminium-Spider, 108g"                                                                    ,           1 ,              ,                            1 ,             0 ,             1 ,               109.99 ,                      365 ,          0.11  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B007  ,MTB Disc 203mm Pro              ,Fahrradkomponenten ,         64.99 ,                     1 ,                   0 ,             1 ,          1 ,"Großdimensionierte MTB-Bremsscheibe 203mm, 6-Loch, 2.3mm stark, schwimmend gelagert, erhöhte Kühlleistung, 195g"                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,               129.99 ,                      365 ,          0.20  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B008  ,Race Ceramic Bremsbeläge        ,Fahrradkomponenten ,         34.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-Performance Bremsbeläge mit Keramik-Compound, optimierte Wärmeableitung, geringer Verschleiß, für Shimano-kompatibel"                                                  ,           1 ,              ,                            1 ,             0 ,             1 ,                59.99 ,                      365 ,          0.08  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B009  ,MTB Sinter Bremsbeläge Pro      ,Fahrradkomponenten ,         24.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gesinterte Bremsbeläge für MTB/E-MTB, hohe Bremsleistung bei Nässe, langlebig, SRAM/Magura-kompatibel"                                                                      ,           1 ,              ,                            1 ,             0 ,             1 ,                49.99 ,                      365 ,          0.04  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B010  ,Carbon Race Fork Pro            ,Fahrradkomponenten ,        399.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Carbon-Rennradgabel, Flatmount Bremsaufnahme, 12mm Steckachse, integrierte Kabelführung, 350g"                                                                      ,           1 ,              ,                            1 ,             0 ,             1 ,               799.99 ,                      730 ,          0.35  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D001  ,Race Di2 Schaltgruppe           ,Fahrradkomponenten ,       1299.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium elektronische 12-fach Rennrad-Schaltgruppe, Schaltwerk, Umwerfer, Hebel, Semi-Wireless, programmierbares Schaltverhalten"                                           ,           1 ,              ,                            1 ,             0 ,             1 ,              2599.99 ,                      730 ,          0.89  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D002  ,MTB AXS Schaltgruppe Pro        ,Fahrradkomponenten ,        999.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-End elektronische MTB 12-fach Schaltgruppe, Wireless, Mullet-Setup möglich, optimierte Kettenführung, 52T Kapazität"                                                   ,           1 ,              ,                            1 ,             0 ,             1 ,              1999.99 ,                      730 ,          0.92  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D003  ,Gravel GRX Di2 Set              ,Fahrradkomponenten ,        899.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gravel-spezifische elektronische 11-fach Schaltgruppe, Clutch-Technologie, erweiterte Übersetzungsbandbreite, Schmutzresistent"                                             ,           1 ,              ,                            1 ,             0 ,             1 ,              1799.99 ,                      730 ,          0.95  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D004  ,Race Carbon Kurbel Pro          ,Fahrradkomponenten ,        449.99 ,                     1 ,                   0 ,             1 ,          1 ,"Ultra-leichte Carbon-Rennradkurbel, 172.5mm, 52/36T, Hollow-Tech II kompatibel, integrierter Powermeter-Ready"                                                              ,           1 ,              ,                            1 ,             0 ,             1 ,               899.99 ,                      730 ,          0.62  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D005  ,MTB Carbon Kurbel Elite         ,Fahrradkomponenten ,        399.99 ,                     1 ,                   0 ,             1 ,          1 ,"MTB Carbon-Kurbel, 175mm, Direct Mount, 32T, Boost-kompatibel, Q-Faktor 168mm, verstärkte Pedalgewinde"                                                                     ,           1 ,              ,                            1 ,             0 ,             1 ,               799.99 ,                      730 ,          0.58  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D006  ,E-Bike Kurbel Advanced          ,Fahrradkomponenten ,        129.99 ,                     1 ,                   0 ,             1 ,          1 ,"E-Bike optimierte Aluminium-Kurbel, 165mm, verstärkte Ausführung, ISIS-Drive, Q-Faktor 180mm, E-Bike zertifiziert"                                                          ,           1 ,              ,                            1 ,             0 ,             1 ,               259.99 ,                      730 ,          0.78  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D007  ,Race Kassette 12-fach Pro       ,Fahrradkomponenten ,        249.99 ,                     1 ,                   0 ,             1 ,          1 ,"Hochwertige 12-fach Rennrad-Kassette, 11-30T, CNC-gefräste Stahlritzel, Aluminium-Spider, 245g"                                                                             ,           1 ,              ,                            1 ,             0 ,             1 ,               499.99 ,                      365 ,          0.25  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D008  ,MTB Kassette 12-fach Elite      ,Fahrradkomponenten ,        199.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium MTB 12-fach Kassette, 10-52T, XD-Driver, beschichtete Stahlritzel, Aluminium-Carrier, 385g"                                                                         ,           1 ,              ,                            1 ,             0 ,             1 ,               399.99 ,                      365 ,          0.39  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D009  ,Race Chain 12-speed Pro         ,Fahrradkomponenten ,         69.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-Performance 12-fach Kette, Hohlnietentechnologie, Titannitrid-Beschichtung, 242g (114 Glieder)"                                                                        ,           1 ,              ,                            1 ,             0 ,             1 ,               129.99 ,                      365 ,          0.32  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D010  ,E-MTB Chain 12-speed Heavy Duty ,Fahrradkomponenten ,         49.99 ,                     1 ,                   0 ,             1 ,          1 ,"Verstärkte E-MTB 12-fach Kette, verlängerte Haltbarkeit, optimierte Schaltperformance unter Last, 278g (114 Glieder)"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,                99.99 ,                      365 ,          0.28  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E001  ,Performance CX Motor Pro        ,Fahrradkomponenten ,        899.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Mittelmotor, 85Nm max. Drehmoment, 250W Nennleistung, Smart System Ready, Auto-Mode, Extended Range Support bis 120 upm"                                            ,           1 ,              ,                            1 ,             0 ,             1 ,              1799.99 ,                      730 ,          2.9   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E002  ,Active Line Plus Motor          ,Fahrradkomponenten ,        499.99 ,                     1 ,                   0 ,             1 ,          1 ,"City/Trekking Mittelmotor, 50Nm max. Drehmoment, 250W Nennleistung, leise Laufcharakteristik, optimaler Wirkungsgrad"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,               999.99 ,                      730 ,          3.2   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E003  ,Cargo Drive Unit Plus           ,Fahrradkomponenten ,        799.99 ,                     1 ,                   0 ,             1 ,          1 ,"Cargo-optimierter Mittelmotor, 85Nm max. Drehmoment, verstärkte Ausführung, Anhängerlast bis 200kg, Temperaturüberwachung"                                                  ,           1 ,              ,                            1 ,             0 ,             1 ,              1599.99 ,                      730 ,          3.4   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E004  ,PowerTube 750 Battery Pro       ,Fahrradkomponenten ,        599.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium integrierter Akku, 750Wh Kapazität, Smart System kompatibel, Schnellladefunktion, BMS 2.0, 4A Ladestrom"                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,              1199.99 ,                      730 ,          3.7   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
