Item Code,Item Name,Item Group,Default Unit of Measure,Allow Alternative Item,Is Stock Item,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Rate,Description,Brand,Warranty Period (in days),Weight Per Unit,Weight UOM
COMP-0023,Small Parts Kit Type 23,Bicycle Components,Nos,1,1,1,80,99.64,765.87,High-quality small parts kit type 23 for bicycles and e-bikes,VeloTech,730,1.82,Kg
COMP-0024,Accessory Kit Type 24,Bicycle Components,Nos,1,1,1,72,105.19,504.4,High-quality accessory kit type 24 for bicycles and e-bikes,GearMaster,365,2.96,Kg
COMP-0025,E-Bike Motor Type 25,Bicycle Components,Nos,1,1,1,92,221.24,867.79,High-quality e-bike motor type 25 for bicycles and e-bikes,CyclePro,365,4.73,Kg
COMP-0026,E-Bike Battery Type 26,Bicycle Components,Nos,1,1,1,127,202.4,366.96,High-quality e-bike battery type 26 for bicycles and e-bikes,GearMaster,730,4.66,Kg
COMP-0027,E-Bike Controller Type 27,Bicycle Components,Nos,1,1,1,143,292.83,43.1,High-quality e-bike controller type 27 for bicycles and e-bikes,VeloTech,730,2.29,Kg
COMP-0028,E-Bike Display Type 28,Bicycle Components,Nos,1,1,1,195,299.78,699.75,High-quality e-bike display type 28 for bicycles and e-bikes,GearMaster,180,2.15,Kg
COMP-0029,E-Bike Wiring Kit Type 29,Bicycle Components,Nos,1,1,1,63,101.76,490.18,High-quality e-bike wiring kit type 29 for bicycles and e-bikes,CyclePro,90,0.45,Kg
COMP-0030,E-Bike Sensors Kit Type 30,Bicycle Components,Nos,1,1,1,84,283.38,820.47,High-quality e-bike sensors kit type 30 for bicycles and e-bikes,GearMaster,730,1.35,Kg
BIKE-0001,Bicycle Model 1,Bicycles,Nos,0,1,1,16,359.8,2349.85,High-performance bicycle suitable for various terrains,Velo,730,17.72,Kg
BIKE-0002,Bicycle Model 2,Bicycles,Nos,0,1,1,31,1289.29,942.65,High-performance bicycle suitable for various terrains,Velo,730,22.3,Kg
BIKE-0003,Bicycle Model 3,Bicycles,Nos,0,1,1,12,1445.47,2927.77,High-performance bicycle suitable for various terrains,Velo,730,12.74,Kg
BIKE-0004,Bicycle Model 4,Bicycles,Nos,0,1,1,30,889.06,1446.64,High-performance bicycle suitable for various terrains,Velo,730,22.56,Kg
BIKE-0005,Bicycle Model 5,Bicycles,Nos,0,1,1,24,1325.09,2353.99,High-performance bicycle suitable for various terrains,Velo,730,20.27,Kg
BIKE-0006,Bicycle Model 6,Bicycles,Nos,0,1,1,48,539.63,678.69,High-performance bicycle suitable for various terrains,Velo,730,24.44,Kg
BIKE-0007,Bicycle Model 7,Bicycles,Nos,0,1,1,35,1342.15,968.19,High-performance bicycle suitable for various terrains,Velo,730,17.77,Kg
BIKE-0008,Bicycle Model 8,Bicycles,Nos,0,1,1,41,1346.55,2301.91,High-performance bicycle suitable for various terrains,Velo,730,21.0,Kg
BIKE-0009,Bicycle Model 9,Bicycles,Nos,0,1,1,36,784.2,1508.4,High-performance bicycle suitable for various terrains,Velo,730,22.41,Kg
BIKE-0010,Bicycle Model 10,Bicycles,Nos,0,1,1,37,1200.09,2928.72,High-performance bicycle suitable for various terrains,Velo,730,21.67,Kg
EBIKE-0001,E-Bike Model 1,E-Bikes,Nos,0,1,1,22,1315.08,1649.15,High-performance e-bike suitable for various terrains,Velo,730,12.38,Kg
EBIKE-0002,E-Bike Model 2,E-Bikes,Nos,0,1,1,49,1331.3600000000001,1874.4,High-performance e-bike suitable for various terrains,Velo,730,13.62,Kg
EBIKE-0003,E-Bike Model 3,E-Bikes,Nos,0,1,1,36,980.55,2938.91,High-performance e-bike suitable for various terrains,Velo,730,20.54,Kg
EBIKE-0004,E-Bike Model 4,E-Bikes,Nos,0,1,1,40,1671.56,3463.07,High-performance e-bike suitable for various terrains,Velo,730,23.64,Kg
EBIKE-0005,E-Bike Model 5,E-Bikes,Nos,0,1,1,14,1377.79,3403.74,High-performance e-bike suitable for various terrains,Velo,730,15.17,Kg
SERV-0001,Tire Change,Repair Services,Hrs,0,0,0,,0,143.12,Professional bicycle repair service: tire change,,,,
SERV-0002,Brake Maintenance,Repair Services,Hrs,0,0,0,,0,70.58,Professional bicycle repair service: brake maintenance,,,,
SERV-0003,Gear Adjustment,Repair Services,Hrs,0,0,0,,0,56.29,Professional bicycle repair service: gear adjustment,,,,
SERV-0004,Chain Replacement,Repair Services,Hrs,0,0,0,,0,45.72,Professional bicycle repair service: chain replacement,,,,
SERV-0005,Wheel Truing,Repair Services,Hrs,0,0,0,,0,74.23,Professional bicycle repair service: wheel truing,,,,
SERV-0006,Complete Inspection,Repair Services,Hrs,0,0,0,,0,141.22,Professional bicycle repair service: complete inspection,,,,
SERV-0007,E-Bike Diagnosis,Repair Services,Hrs,0,0,0,,0,39.3,Professional bicycle repair service: e-bike diagnosis,,,,
SERV-0008,Battery Service,Repair Services,Hrs,0,0,0,,0,111.68,Professional bicycle repair service: battery service,,,,
SERV-0009,Suspension Fork Service,Repair Services,Hrs,0,0,0,,0,54.08,Professional bicycle repair service: suspension fork service,,,,
SERV-0010,Frame Painting,Repair Services,Hrs,0,0,0,,0,36.22,Professional bicycle repair service: frame painting,,,,
