Abbr,Company,Country,Default Currency,Company Description,Domain,Email,Phone No,Fax,Tax ID,Website,Date of Incorporation,Enable Perpetual Inventory,Credit Limit
COMP0011,Pedal Ullrich AG,Austria,EUR,Distributing cycling accessories for the local market.,scholz.de,huhnjosefa@hande.de,+49(0)5636 46259,09729291076,ATU77296691,https://segebahn.de/,2015-04-10,1,135271
COMP0012,Cycle Roht KG,Austria,EUR,Focusing on urban commuter bikes for the local market.,hess.de,apollonia75@hesse.org,(02767) 17117,+49(0) 370123349,ATU27650053,http://klemt.com/,2017-11-28,1,42466
COMP0013,Chain Graf KG,Austria,EUR,Organizing cycling tours and events for the international market.,fiebig.de,hettnerwalli@kusch.com,+49(0)2282519663,06244 92932,ATU03934626,https://www.lehmann.net/,2021-09-14,1,252453
COMP0014,Wheel Rogner KG,Austria,EUR,Focusing on urban commuter bikes for the national market.,bauer.de,groettnervesna@mende.net,00991 926995,0821548656,ATU36746598,https://giess.com/,2019-11-06,1,647592
COMP0015,Bike Klotz KG,Austria,EUR,Developing innovative cycling technologies for the national market.,bien.com,ferdinandmargraf@ladeck.de,0190651745,(02440) 97128,ATU20995292,http://www.wulff.de/,2018-12-23,1,222014
COMP0016,Cycle Säuberlich AG,Germany,EUR,Distributing cycling accessories for the national market.,binner.net,karzayse@fritsch.de,+49 (0) 9874 155168,(08208) 23487,DE14952821093,http://linke.com/,2023-02-21,1,422482
COMP0017,Cycle Fliegner AG,Switzerland,CHF,Manufacturing bicycle components for the local market.,martin.net,ismetbaehr@kreusel.com,+49(0)2258 61389,+49(0)3372172686,CHE-347.203.203,http://www.muelichen.org/,2019-06-02,1,273454
COMP0018,Wheel Fliegner OHG,Austria,EUR,Organizing cycling tours and events for the national market.,ruppersberger.com,marika44@mans.de,00308356475,+49(0) 322097842,ATU95094629,http://walter.de/,2020-04-21,1,66494
COMP0019,Chain Weitzel GbR,Germany,EUR,Specializing in high-performance bicycles for the local market.,beckmann.de,cknappe@krein.net,+49(0)8020 817922,08966 443975,DE02495735205,http://geisel.com/,2018-06-21,1,295751
COMP0020,Frame Kreusel KG,Germany,EUR,Designing custom bicycles for the international market.,schleich.com,johannes96@briemer.de,+49(0) 007806415,0927921608,DE09459555653,https://gierschner.net/,2017-10-22,1,559105
COMP0021,Gear Möchlichen OHG,Switzerland,CHF,Distributing cycling accessories for the local market.,eberhardt.de,karl-josefroerricht@stolze.org,+49(0)6177 733440,+49(0)4403 52959,CHE-902.091.840,https://karz.de/,2018-02-13,1,261516
COMP0022,Ride Gnatz KG,Switzerland,CHF,Focusing on urban commuter bikes for the local market.,beckmann.com,sevim55@kitzmann.org,08094679218,+49(0)1244387521,CHE-507.164.810,https://www.doerr.de/,2020-12-17,1,187653
COMP0023,Pedal Mälzer OHG,Austria,EUR,Designing custom bicycles for the national market.,klemm.com,waehnersibel@trubin.de,+49(0)1430 81400,07187 539611,ATU85410363,http://schuchhardt.org/,2023-03-01,1,151529
COMP0024,Bike Mende AG,Switzerland,CHF,Organizing cycling tours and events for the local market.,riehl.com,rohthedwig@hein.com,+49(0)3642 219188,+49(0)6142 781506,CHE-540.529.484,http://www.klingelhoefer.com/,2016-03-07,1,361569
COMP0025,Gear Junck e.K.,Switzerland,CHF,Developing innovative cycling technologies for the local market.,barth.de,wenke54@schaaf.com,+49(0)5866 973190,04271666448,CHE-872.529.826,https://plath.de/,2016-05-04,1,821127
COMP0026,Pedal Gude e.K.,Germany,EUR,Organizing cycling tours and events for the national market.,holzapfel.org,anettjaekel@misicher.de,02341987590,(03367) 87621,DE26273992954,http://www.koehler.net/,2015-12-23,1,25140
COMP0027,Bike Rädel AG,Switzerland,CHF,Organizing cycling tours and events for the local market.,hess.de,sergeikuehnert@trupp.com,+49(0)0785 831243,(05941) 267854,CHE-033.627.621,https://kohl.com/,2017-09-18,1,570138
COMP0028,Pedal Lachmann AG,Germany,EUR,Organizing cycling tours and events for the local market.,ehlert.com,brunoheser@mohaupt.de,+49(0)9483852122,02234318004,DE58567645433,http://www.soeding.com/,2018-06-07,1,58637
COMP0029,Chain Zimmer OHG,Austria,EUR,Manufacturing bicycle components for the local market.,meyer.de,winfried60@junken.com,+49(0) 315332753,0359993487,ATU31900646,https://www.kaester.net/,2018-03-12,1,504189
COMP0030,Chain Hiller GbR,Germany,EUR,Developing innovative cycling technologies for the local market.,haering.de,henner51@henschel.de,+49(0)5198 415385,+49(0)0381359334,DE15876790130,http://www.gertz.net/,2017-04-29,1,293119
COMP0031,Bike Steckel GbR,Austria,EUR,Providing bike rental services for the national market.,doerr.de,kbien@naser.de,+49(0)3503 30334,+49 (0) 3339 680274,ATU07846525,http://www.schmiedt.net/,2014-10-10,1,392365
COMP0032,Pedal Mielcarek KG,Germany,EUR,Designing custom bicycles for the international market.,trub.net,nheinz@troest.com,+49(0) 885938526,05629 69830,DE40186634108,https://stoll.com/,2023-03-21,1,847869
COMP0033,Bike Mies GbR,Germany,EUR,Organizing cycling tours and events for the international market.,kambs.org,seipannemarie@raedel.de,+49 (0) 5433 716319,00291 780818,DE54248912587,http://www.gertz.com/,2020-12-27,1,712129
COMP0034,Bike Ullrich OHG,Austria,EUR,Providing bike rental services for the national market.,hauffer.com,amanda80@bolzmann.de,+49(0)8432 220637,(04254) 61169,ATU32489759,http://benthin.net/,2016-12-11,1,755831
COMP0035,Ride Tintzmann GbR,Austria,EUR,Designing custom bicycles for the local market.,putz.de,evangelos76@kroker.com,+49(0) 581849994,03135751868,ATU28060210,http://ullmann.de/,2021-08-06,1,157540
COMP0036,Cycle Gumprich KG,Germany,EUR,Manufacturing bicycle components for the international market.,muehle.com,ann-kathrin35@caspar.de,(06489) 049357,0676862164,DE62687348331,https://www.trommler.com/,2020-01-05,1,50976
COMP0037,Bike Hölzenbecher OHG,Switzerland,CHF,Designing custom bicycles for the international market.,otto.com,brunhilde69@peukert.org,07902 70157,0293338050,CHE-220.852.376,http://mude.de/,2018-05-17,1,48794
COMP0038,Chain Wulff GbR,Switzerland,CHF,Distributing cycling accessories for the national market.,loewer.net,waehnersven@etzold.de,+49 (0) 9121 053848,08443487476,CHE-722.482.936,https://henschel.net/,2022-09-15,1,564407
COMP0039,Pedal Mies OHG,Switzerland,CHF,Manufacturing bicycle components for the international market.,mohaupt.de,ismet21@scheibe.de,(07730) 017918,+49(0)1962 72361,CHE-893.318.786,https://ullmann.org/,2016-12-02,1,404911
COMP0040,Frame Trubin GmbH,Germany,EUR,Specializing in high-performance bicycles for the national market.,loewer.de,benchristoph@rogner.de,(08866) 144677,08939 99096,DE70924839647,https://roehricht.de/,2022-11-05,1,187232
COMP0041,Velocity Kroker e.K.,Austria,EUR,Distributing cycling accessories for the local market.,gehringer.de,ekensy@stadelmann.net,+49(0)0064029589,+49(0)3720750700,ATU54325748,http://nette.de/,2015-03-21,1,632991
COMP0042,Chain Döhn e.K.,Germany,EUR,Providing bike rental services for the international market.,schlosser.com,danilokeudel@steinberg.com,0023731700,0837575309,DE92371490726,http://www.weller.net/,2018-05-29,1,366445
COMP0043,Ride Pohl KG,Switzerland,CHF,Focusing on urban commuter bikes for the international market.,klingelhoefer.de,waltrudeigenwillig@pohl.com,+49(0) 780721799,07831 44203,CHE-066.346.258,https://www.muelichen.com/,2021-07-08,1,540629
COMP0044,Gear Hein OHG,Germany,EUR,Offering comprehensive bike repair services for the local market.,kallert.de,nickjunken@kaul.net,+49(0)5367 53355,+49(0)4506 83948,DE17671907502,https://www.seifert.de/,2016-11-27,1,46007
COMP0045,Velocity Thanel AG,Switzerland,CHF,Offering comprehensive bike repair services for the national market.,eberth.de,textorjohanna@fliegner.de,0501760281,+49(0) 685752824,CHE-465.701.717,http://auch.com/,2022-08-11,1,64972
COMP0046,Chain Kroker KG,Switzerland,CHF,Focusing on urban commuter bikes for the national market.,bauer.org,zirmedana@wohlgemut.de,+49(0) 989899566,0133125807,CHE-161.401.801,https://lange.com/,2018-01-29,1,381177
COMP0047,Bike Häring e.K.,Germany,EUR,Organizing cycling tours and events for the local market.,fliegner.org,anaschomber@hamann.org,(08241) 388585,07491 67645,DE38642469974,http://www.holsten.de/,2020-12-01,1,412428
COMP0048,Cycle Gute KG,Austria,EUR,Specializing in high-performance bicycles for the national market.,mude.org,antonietta61@geissler.com,0819311739,+49(0)7105 520378,ATU97772634,http://heinrich.org/,2018-11-30,1,511809
COMP0049,Ride Stoll KG,Switzerland,CHF,Manufacturing bicycle components for the national market.,cichorius.com,egierschner@kobelt.net,+49(0)5399232329,0879245275,CHE-769.448.432,https://www.zahn.de/,2016-12-22,1,82211
COMP0050,Cycle Wagenknecht OHG,Germany,EUR,Organizing cycling tours and events for the national market.,reichmann.com,benno58@ebert.de,06344363778,06134 70782,DE12390133032,http://scheel.com/,2019-10-28,1,539739
