Default Unit of Measure,Item Code,Valuation Rate,Item Group,Allow Alternative Item,Allow Negative Stock,Allow Purchase,Allow Sales,Description,Has Batch No,Has Serial No,Include Item In Manufacturing,Is Fixed Asset,Item Name,Maintain Stock,Standard Selling Rate,Warranty Period (in days),Weight Per Unit,Weight UOM,Serial Number Series,Batch Number Series,Default Expense Account (Item Defaults)
Nos,COMP-0009,142.72,Fahrradkomponenten,1,0,1,1,Griffe Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Griffe Standard,1,26.08,133,2.66,Kg,,BATCH-GRI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0010,182.46,Fahrradkomponenten,1,0,1,1,Sattelstütze Starr: Hochwertige Komponente für optimale Leistung.,1,,1,0,Sattelstütze Starr,1,96.24,210,3.18,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0011,99.15,Fahrradkomponenten,1,0,1,1,Akku Zusatzakku: Hochwertige Komponente für optimale Leistung.,1,,1,0,Akku Zusatzakku,1,197.71,98,0.17,Kg,,BATCH-AKK-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0012,173.06,Fahrradkomponenten,1,0,1,1,Steuersatz Integriert: Hochwertige Komponente für optimale Leistung.,1,,1,0,Steuersatz Integriert,1,309.52,337,0.87,Kg,,BATCH-STE-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0013,153.74,Fahrradkomponenten,1,0,1,1,Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Leistungsstark,1,308.14,117,3.08,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0014,192.67,Fahrradkomponenten,1,0,1,1,Bremsen Scheibenbremsen mechanisch: Hochwertige Komponente für optimale Leistung.,1,,1,0,Bremsen Scheibenbremsen mechanisch,1,261.36,216,0.97,Kg,,BATCH-BRE-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0015,172.88,Fahrradkomponenten,1,0,1,1,Kette 9-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kette 9-fach,1,244.55,324,1.16,Kg,,BATCH-KET-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0016,120.32,Fahrradkomponenten,1,0,1,1,Vorbau Verstellbarer Vorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Verstellbarer Vorbau,1,376.82,283,3.14,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0017,68.44,Fahrradkomponenten,1,0,1,1,Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kurbel 3-fach,1,246.49,319,4.34,Kg,,BATCH-KUR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0018,68.28,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,137.83,120,3.02,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0019,196.87,Fahrradkomponenten,1,0,1,1,Display Smartphone-Integration: Hochwertige Komponente für optimale Leistung.,1,,1,0,Display Smartphone-Integration,1,194.67,330,3.54,Kg,,BATCH-DIS-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0020,84.72,Fahrradkomponenten,1,0,1,1,Gel-Sattel für stoßabsorbierende Eigenschaften und hohen Komfort.,1,,1,0,Sattel Gel,1,398.25,197,3.14,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0021,112.5,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,309.25,326,3.69,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0022,93.52,Fahrradkomponenten,1,0,1,1,Sattelstütze Teleskop: Hochwertige Komponente für optimale Leistung.,1,,1,0,Sattelstütze Teleskop,1,255.68,245,4.53,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0023,112.31,Fahrradkomponenten,1,0,1,1,Ergonomischer Sportsattel für effizientes Pedalieren und Druckentlastung.,1,,1,0,Sattel Sport,1,254.86,337,4.36,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0024,145.97,Fahrradkomponenten,1,0,1,1,"Reifen Straße 28"": Hochwertige Komponente für optimale Leistung.",1,,1,0,"Reifen Straße 28""",1,265.62,242,0.69,Kg,,BATCH-REI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0025,149.38,Fahrradkomponenten,1,0,1,1,"Breiter, gepolsterter Sattel für maximalen Sitzkomfort auf längeren Fahrten.",1,,1,0,Sattel Komfort,1,341.54,358,4.52,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0026,27.67,Fahrradkomponenten,1,0,1,1,Zuverlässige 7-Gang-Schaltung für den Alltagsgebrauch.,1,,1,0,Schaltung 7-Gang,1,106.99,223,0.56,Kg,,BATCH-SCH-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0027,193.95,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,355.42,105,2.35,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0028,57.11,Fahrradkomponenten,1,0,1,1,Motor Mittelmotor 500W: Hochwertige Komponente für optimale Leistung.,1,,1,0,Motor Mittelmotor 500W,1,105.73,110,2.33,Kg,,BATCH-MOT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0029,99.0,Fahrradkomponenten,1,0,1,1,Gerader Lenker für aufrechte Sitzposition und gute Kontrolle.,1,,1,0,Lenker Flatbar,1,267.97,235,3.83,Kg,,BATCH-LEN-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0030,57.65,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,265.23,326,2.85,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0031,41.03,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,218.45,316,3.08,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0032,155.15,Fahrradkomponenten,1,0,1,1,Controller Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Standard,1,143.41,173,2.89,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0033,34.86,Fahrradkomponenten,1,0,1,1,Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Leistungsstark,1,285.94,296,1.25,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0034,86.02,Fahrradkomponenten,1,0,1,1,Griffe Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Griffe Standard,1,373.94,300,3.87,Kg,,BATCH-GRI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0035,140.49,Fahrradkomponenten,1,0,1,1,"Reifen Gravel 29"": Hochwertige Komponente für optimale Leistung.",1,,1,0,"Reifen Gravel 29""",1,173.07,330,0.52,Kg,,BATCH-REI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0036,122.98,Fahrradkomponenten,1,0,1,1,Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kurbel 3-fach,1,384.82,147,0.23,Kg,,BATCH-KUR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0037,184.35,Fahrradkomponenten,1,0,1,1,Klassische 2x11 Rennradschaltung für optimale Abstufung und Effizienz.,1,,1,0,Schaltung 2x11 Rennrad,1,263.65,180,0.22,Kg,,BATCH-SCH-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0038,87.16,Fahrradkomponenten,1,0,1,1,Erhöhter Lenker für entspannte Haltung und gute Übersicht.,1,,1,0,Lenker Riserbar,1,344.85,236,4.93,Kg,,BATCH-LEN-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0039,54.74,Fahrradkomponenten,1,0,1,1,Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kurbel 3-fach,1,196.03,108,0.21,Kg,,BATCH-KUR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0040,127.27,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,224.43,115,0.4,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0041,198.86,Fahrradkomponenten,1,0,1,1,Controller Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Standard,1,326.41,178,2.37,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0042,89.98,Fahrradkomponenten,1,0,1,1,Controller Tuning-Kit: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Tuning-Kit,1,362.52,348,3.26,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0043,63.76,Fahrradkomponenten,1,0,1,1,Kurbel 2-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kurbel 2-fach,1,267.21,298,2.88,Kg,,BATCH-KUR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0044,93.18,Fahrradkomponenten,1,0,1,1,Zuverlässige 7-Gang-Schaltung für den Alltagsgebrauch.,1,,1,0,Schaltung 7-Gang,1,374.03,348,3.18,Kg,,BATCH-SCH-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0045,147.07,Fahrradkomponenten,1,0,1,1,Griffe Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Griffe Standard,1,139.46,363,1.54,Kg,,BATCH-GRI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0046,62.24,Fahrradkomponenten,1,0,1,1,Kurbel 2-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kurbel 2-fach,1,28.01,144,2.34,Kg,,BATCH-KUR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0047,153.23,Fahrradkomponenten,1,0,1,1,Erhöhter Lenker für entspannte Haltung und gute Übersicht.,1,,1,0,Lenker Riserbar,1,355.14,92,4.49,Kg,,BATCH-LEN-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0048,24.18,Fahrradkomponenten,1,0,1,1,Steuersatz Semi-integriert: Hochwertige Komponente für optimale Leistung.,1,,1,0,Steuersatz Semi-integriert,1,245.38,302,4.9,Kg,,BATCH-STE-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0050,68.62,Fahrradkomponenten,1,0,1,1,Controller Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Standard,1,390.53,111,2.33,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
