ID,Supplier Name,Supplier Type,Country,Supplier Group,Email Id,Mobile No,Supplier Details,Website,Is Frozen,Is Internal Supplier,Disabled,Allow Purchase Invoice Creation Without Purchase Order,Allow Purchase Invoice Creation Without Purchase Receipt
SUP-7960,Staude Christoph GbR,Company,Germany,Hardware,support@staude.christoph.gbr.de,+49(0)2085864430,transition value-added supply-chains,www.staude-christoph-gbr.de,0,0,0,0,0
SUP-8742,Jähn,Company,Germany,Local,verkauf@jähn.de,(00368) 47483,brand customized info-mediaries,www.jähn.de,0,0,0,0,0
SUP-4278,Fischer,Partnership,Germany,Component Manufacturer,einkauf@fischer.de,+49(0) 844698207,architect open-source relationships,www.fischer.de,0,0,0,0,1
SUP-8416,Schmiedt,Proprietorship,Germany,Local,kontakt@schmiedt.de,(07171) 656679,drive B2B e-tailers,www.schmiedt.de,0,0,0,0,0
SUP-7986,Hofmann KG,Partnership,Germany,Hardware,kontakt@hofmann.kg.de,09684567475,mesh collaborative initiatives,www.hofmann-kg.de,0,0,0,0,0
SUP-2051,Segebahn Johann e.G.,Partnership,Germany,Hardware,info@segebahn.johann.eg.de,+49 (0) 3336 406353,iterate robust architectures,www.segebahn-johann-eg.de,0,0,0,0,0
SUP-2613,Mentzel Johann e.G.,Partnership,Germany,Component Manufacturer,info@mentzel.johann.eg.de,+49(0) 587317665,synergize cross-media networks,www.mentzel-johann-eg.de,0,0,0,1,0
SUP-8458,Trubin,Partnership,Germany,Local,einkauf@trubin.de,08205 620362,enable interactive portals,www.trubin.de,0,0,0,0,0
SUP-1494,Gierschner Köster KG,Individual,Germany,Local,einkauf@gierschner.köster.kg.de,0418320478,incentivize strategic networks,www.gierschner-köster-kg.de,0,0,0,0,0
SUP-6177,Kostolzin Bohlander KGaA,Proprietorship,Germany,Hardware,einkauf@kostolzin.bohlander.kgaa.de,(00360) 740458,visualize scalable models,www.kostolzin-bohlander-kgaa.de,0,0,0,0,0
SUP-5531,Tschentscher,Partnership,Germany,Local,kontakt@tschentscher.de,(05369) 002560,deploy collaborative info-mediaries,www.tschentscher.de,0,0,0,0,0
SUP-4207,Löffler,Partnership,Germany,Local,verkauf@löffler.de,09910 330756,enhance transparent relationships,www.löffler.de,0,0,0,0,0
SUP-4245,Eckbauer AG,Individual,Germany,Hardware,info@eckbauer.ag.de,02838 829293,harness dot-com architectures,www.eckbauer-ag.de,0,0,0,0,0
SUP-6070,Rädel Carsten Stiftung & Co. KGaA,Individual,Germany,Component Manufacturer,kontakt@rädel.carsten.stiftung.co.kgaa.de,05436829786,benchmark collaborative metrics,www.rädel-carsten-stiftung--co-kgaa.de,0,0,0,0,0
SUP-5932,Blümel,Proprietorship,Germany,Local,kontakt@blümel.de,+49(0)0443209859,streamline global niches,www.blümel.de,0,0,0,0,1
SUP-6060,Aumann Mosemann AG,Proprietorship,Germany,Local,verkauf@aumann.mosemann.ag.de,+49 (0) 7290 693234,maximize back-end users,www.aumann-mosemann-ag.de,0,0,0,0,0
SUP-9845,Stoll AG,Individual,Germany,Raw Material,support@stoll.ag.de,+49(0) 129742713,orchestrate robust markets,www.stoll-ag.de,0,0,0,0,0
SUP-9711,Weiß Stiftung & Co. KGaA,Proprietorship,Germany,Distributor,info@weiß.stiftung.co.kgaa.de,0742639295,productize revolutionary architectures,www.weiß-stiftung--co-kgaa.de,0,0,0,0,1
SUP-5652,Schönland,Proprietorship,Germany,Component Manufacturer,info@schönland.de,+49(0)3620 37668,synergize bleeding-edge synergies,www.schönland.de,0,0,0,0,0
SUP-7112,Junk GmbH & Co. KG,Company,Germany,Raw Material Supplier,kontakt@junk.gmbh.co.kg.de,(01620) 330264,engage killer partnerships,www.junk-gmbh--co-kg.de,0,0,0,1,0
SUP-9747,Stiebitz AG,Partnership,Germany,Component Manufacturer,verkauf@stiebitz.ag.de,+49(0)0763 54956,reinvent collaborative relationships,www.stiebitz-ag.de,0,0,0,0,0
SUP-9677,Hofmann Nette AG & Co. KG,Partnership,Germany,Component Manufacturer,support@hofmann.nette.ag.co.kg.de,+49(0)9978612212,disintermediate open-source mindshare,www.hofmann-nette-ag--co-kg.de,0,0,0,0,1
